nbLemmings 10
speed 800
objective 5
blocker 1
bomber 1
carpenter 1
climber 1
digger 3
parachutist 5
tunneler 2
I I I I I I I I I I I I I I I I I I I I I I I I I I I I
S V V V V V V V V V D V V A V V V V V V V V V V V V V I
V V V V V V V V V V D V V A V V V V V V V V V V V V V I
V V V V V V V V V V D V V A V V V T V V V V V V V V V I
I I I I V V V I I I I I I I I I I I V V V V V V V V V I
V V V V V V V V V V V V V I V V V V V V V V V V V V V I
D D D D V V V D D D D V V I V V T V V V V V V V V V V I
D D D D D D D D D D D V V D D D D D D D D D D D D D V I
V V V V V V V V D D D D V V V V V V V V V V V V D D V I
V V V V V V V V D D D V V V V V V V V V V V V V D D V I
V V V V V V V V V D D D D D D D V V V V V V V V D D V I
V V V V V V V V V V D V V V V D V V V V V V V V D D V I
V V V V V V V V V V D T V V V D V V V V V V V V D E V I
V V V V V V V V V T D D D D V D V V V V V V V V I I I I
I L L L L L L L L L L L L L L L L L L L L L L L L L L I
I L L L L L L L L L L L L L L L L L L L L L L L L L L I
